batch_size_24_Run_1,batch_size_24_Run_2,batch_size_24_Run_3,batch_size_32_Run_1,batch_size_32_Run_2,batch_size_32_Run_3,batch_size_64_Run_1,batch_size_64_Run_2,batch_size_64_Run_3,batch_size_128_Run_1,batch_size_128_Run_2,batch_size_128_Run_3
-93.97703552,-94.99694061,-106.4197388,-71.17469788,-85.13005066,-87.01495361,-157.0326996,-57.7091217,-49.94513321,-120.566597,-112.5555801,-79.24675751
-19.35251999,-100.5566483,-108.9215164,-63.20456314,-83.8058548,-30.09466743,-97.17082977,-103.5658188,-154.0871124,-22.9893322,-51.90248489,-65.3237915
-79.39752197,-10.06243324,-51.24605942,-53.64639664,-72.46237946,-119.9789429,-54.63769531,-98.08914948,-147.5161133,-33.29069138,-31.24431038,-121.4169388
-67.85437012,-94.68312073,-68.92124176,-35.68886566,-168.0603027,-57.8062973,-60.46676254,-25.54232407,-124.4706192,-41.91005325,-27.4835968,-51.51504135
-41.95581436,-86.24225616,-49.11762238,-41.04568481,-83.15383148,-103.2910309,-277.3377991,-45.12840652,-94.50809479,-53.20471954,-19.56962585,-99.24127197
-24.19617462,-133.217392,-106.8060303,-145.5762329,-73.90078735,-120.8121033,-118.26297,-15.07929993,-138.1080017,-25.16811943,-29.06488609,-95.48706055
-40.81607437,-124.3437653,-80.65849304,-129.3706207,-66.61495972,-85.6865921,-80.12879181,-56.49349594,-97.3098526,-10.55550671,-34.05214691,-71.48865509
-82.50483704,-79.46695709,-78.98768616,-27.22444725,-87.68762207,-76.18681335,-94.29697418,-58.03265381,-115.7916641,-58.04213333,-81.60964966,-59.09352493
-89.58642578,-67.22694397,-117.7056503,-85.46144867,-82.62528992,-85.95043945,-181.276825,-34.44020462,-43.10404968,-74.59645081,-17.74459457,-51.8081398
-80.38741302,-62.0153923,-95.1399231,-107.0847015,-50.53293991,-76.2556839,-88.77149963,-80.87937927,-196.76091,-70.80158997,-97.75028992,-40.79275513
-115.8945084,-36.53631973,-71.35099792,-81.71465302,-47.48331833,-96.71087646,-9.063407898,-85.83771515,-102.3500595,-66.88121796,-67.7953949,-128.0296783
-54.29273224,-103.6340942,-8.891419411,-90.6210556,-80.7503891,-88.9745636,-90.59758759,-46.52259064,-48.59862518,-4.605582237,-91.24498749,-49.10615158
-77.48419952,-53.94660568,-14.58444405,-56.63273621,-93.34357452,-16.23621178,-25.20962524,-57.9427681,-118.1067886,-78.57835388,-56.31491089,-183.4596252
-47.64658737,-97.63596344,-90.6163559,-26.85801506,-91.05454254,-118.1786346,-18.59570313,-43.78856277,-42.20511627,-61.66643524,-63.18489456,0.429311246
-55.65024567,-58.1999321,-87.72475433,-62.64316559,-61.08112717,-116.4309158,-61.66487122,-48.30281067,-292.4134827,-94.38013458,-115.2785645,-20.19455147
-23.0205307,-55.96907806,-71.43001556,-76.24861145,13.70232391,-145.1193237,-28.05655861,-74.46456146,-53.81134796,-28.01680565,-74.32138824,-50.35523605
-75.71817017,-55.84503937,-165.3735962,-19.32789421,-67.98425293,-83.71370697,-26.37044907,-91.90317535,-67.67597961,-41.07336044,-64.81774902,-67.57106781
-34.06974792,-94.42870331,-110.3368301,-157.5207367,-105.2179337,-47.47140503,-139.690155,-34.06030655,-115.6530685,-48.75740433,-41.7791214,-66.60964203
-72.1927948,-31.49215317,-87.11888123,-53.09426117,-196.3912659,-96.15904236,-118.0887146,-126.5244904,-184.5578918,-22.14759827,39.47487259,16.55923843
-28.85650253,-117.1835251,-68.76332855,-79.93180084,-98.61556244,-43.38881683,-47.48633194,-68.80899048,-140.3809357,-38.87327576,-59.25248718,-41.40106964
-75.94404602,-58.13670349,-126.8707504,-102.6204453,-76.45749664,-120.0825195,-154.9789276,-39.27202225,-228.5040894,-117.1702271,-17.81926918,-46.77590942
-89.58323669,-61.1700325,-4.282347679,-90.20534515,-12.80207062,-56.74638748,-187.6152191,-81.04209137,-225.2373505,-59.88779831,-224.359314,-165.5728149
-110.0018768,-87.42008972,-145.8439789,-42.63282013,-14.00853539,-16.49270248,-69.24474335,-60.82633591,-329.2353516,-36.42866898,-60.51529694,-59.10076141
2.335236788,-32.62138748,-64.17085266,-37.42928314,-43.44347763,-77.73810577,-69.44102478,-14.60130692,-200.6428223,-93.14385223,5.900868416,-64.90276337
-112.0743942,-61.83979416,-117.4643784,-79.92993927,-45.2573967,-290.1216125,0.585183561,-220.232132,-211.0805054,-11.54890823,-31.32668304,-38.55081558
-85.88407898,-93.22682953,-116.3341064,-50.94264984,-71.13497162,-166.6564484,-199.1533813,-62.66714096,-206.307373,-30.52082443,-74.53907776,-58.17382431
-53.6029129,34.93078613,-19.94713402,-42.54157257,-192.680481,-47.72386551,-161.6440735,8.136119843,-112.6938858,-23.96206284,-53.4217453,23.74304581
-55.97926331,-13.66910934,-5.906196117,-28.32710075,-120.151413,-11.75136852,-67.76622009,-96.3197937,-62.94697189,-25.35834694,17.93130493,-82.33998871
0.258583575,-92.98600006,-237.175415,-102.5535965,-88.49246216,-30.89516449,-99.41029358,-108.6939316,-68.82180023,-34.52295303,-124.3945923,-18.19125938
-52.87440872,-205.2503967,-43.92245102,-53.8951416,-58.76235962,-83.44658661,-3.523797035,-84.1539917,-208.4747925,-91.02902985,-52.14408493,-28.92004776
-52.52199936,-61.46895599,-97.10018921,-52.9808197,-85.75260162,-64.99073792,-53.57572174,-39.35602188,-64.32663727,-231.5205231,-294.7296753,-13.86562252
-66.95619202,-65.57078552,-292.0370789,-176.1929474,-40.11509705,-60.45014572,-415.3996277,-101.3226471,-66.45301819,-57.51853943,-69.96930695,-56.64999771
-69.94413757,-67.23731232,-116.4358521,-90.02072144,-66.95223999,13.95071602,-36.51792908,-28.15507889,-56.58286667,-75.57304382,-60.09331131,-34.44100571
-41.37036896,-20.3680191,-58.59303665,-66.85473633,-22.90084648,-74.58841705,-245.1172333,-60.76810074,-114.2587204,8.620475769,-62.66321564,5.358124733
-48.44419861,-69.09630585,-60.75068665,-76.8601532,-59.33638763,-177.3600006,-19.7435894,-100.6303253,-95.17041779,-64.6301651,9.833820343,-60.11035538
-15.260005,-18.0555954,-171.4853668,-100.9097366,-41.78741455,-88.71877289,-109.4737473,-67.24862671,-113.5721512,-48.12618256,-51.51890182,-104.2842102
-81.44574738,-88.60147858,-92.85570526,-47.67085648,-84.24482727,-33.84884644,-32.62652588,-58.21021271,-124.3246384,-104.6566467,-83.64162445,-100.2510834
-33.86943054,-45.41934204,-109.0747528,-47.22103119,-63.62233353,-109.5465775,-13.33702469,-49.33079147,-194.659256,-112.4694977,-184.6909943,-71.20124817
-64.53524017,-138.8412933,-112.9010925,-119.900322,-73.59918213,-58.5945549,-167.1509247,-159.6085358,-132.9485168,-351.2094421,-11.56854534,2.648422718
-212.6508789,-58.00102234,-2.276584864,-34.10150528,-32.24686432,-135.5612488,55.52878571,-78.0188446,-138.6980743,-476.7643127,30.93052864,-80.60037994
-39.79774857,-78.41306305,-143.6849213,-31.1700325,-38.33701324,-139.8437195,7.561865807,-139.1340027,-229.9065857,-39.57344818,-12.57120132,-87.70281982
-112.4785919,-120.1539841,-138.521698,-16.68074608,-41.77892303,-284.1204529,-163.7230072,-127.2389832,-91.45109558,-48.32451248,-33.36928558,-18.44929314
-19.58003426,-1.924513221,-179.8860016,-34.5760994,-6.447167873,-89.92340851,-42.53342438,-114.5680923,-28.68581772,-70.36997986,-46.58481979,-101.2101288
-57.80612183,-16.93613052,-63.67185593,-24.46327209,-49.22410202,-101.754631,-20.3152504,-149.8278198,-33.51952744,-33.0630455,-56.53171158,-46.30777359
-254.7770538,-244.8345337,-55.22405624,-28.69490051,-6.272727489,-0.309032053,-228.1140289,-23.19695473,-156.4089355,-126.5858307,9.799732208,-124.6834869
-38.42793274,-130.1190186,-64.93386841,-30.32557106,-57.2513237,-38.23101044,-13.72236538,-201.379715,-73.75883484,-227.7271271,-98.1354599,-184.5948792
-261.9666748,-59.99244308,-54.5599823,-33.486866,-63.70491409,-43.49507904,-137.1035004,-152.5555267,-121.1402969,3.702866554,-32.12549591,-138.107193
-90.90562439,-59.06902313,13.21832752,-21.54881287,-61.13315201,-138.6868134,-83.69380188,-195.6218414,-47.6271019,-5.789308548,-89.13574982,-105.7474747
-64.80857849,-68.25255585,-174.8150024,-22.50449181,-29.81820107,-124.7895966,-37.04917526,-145.5632782,-40.37696457,-196.8216553,-70.59442902,-52.07907104
-86.63801575,-88.75115204,-18.39929962,-96.98690033,-23.99213982,-70.44553375,-28.90849876,-145.9229889,-169.3025513,-75.22483826,-36.40117645,-91.60523224
-55.25381088,11.64421272,-61.6794548,-106.7477264,-125.0309372,-86.30626678,-128.5956726,-24.50992012,-26.11494827,-217.531601,-11.0611248,-122.9210205
17.97164917,-323.4079895,-6.99207592,90.28797913,-26.10680008,-184.4569855,-167.7957764,-52.05385971,-55.50310898,14.27011871,-21.15686989,-50.85617828
-46.80192947,-28.07629967,-65.55908966,-74.51185608,3.369973421,-66.51256561,52.826931,-48.35698318,-113.6321106,8.318947792,-28.90296555,-95.61961365
-91.83205414,-2.616733074,5.809506893,7.465787888,-88.48901367,-82.13525391,-78.77526093,-180.6096344,-134.6535034,-47.74508667,-50.7335968,-276.6163635
-7.928421021,-24.53738976,-48.92815399,-52.65560532,-75.83103943,-25.87717438,-19.92023659,-36.06737518,-21.09580231,-13.07892609,-132.9189911,2.306747437
-324.6871033,-110.2909851,-98.05167389,-225.5696869,-37.93496323,-49.0830307,0.497926533,-248.8528442,-71.01378632,46.22751999,-70.68599701,-13.86427784
-60.80560684,-89.57603455,-161.1515656,-179.4850159,-6.298269749,-27.13884163,-288.2387085,-225.3891754,-41.54493713,-188.1810303,-6.875146389,-25.67823792
-12.63598061,-21.33414459,-84.47380066,-139.6901398,-268.513855,-213.3321075,-139.5866089,-70.54226685,-74.05659485,-40.49420166,-74.04803467,-7.291152
-47.19379807,-73.89894104,-104.4900284,-31.61808395,-102.7413635,-235.1034698,-74.21835327,-34.33381653,-58.9298439,4.582009792,-79.57771301,-166.1247101
-168.4036713,-65.18270874,-266.4117737,-102.2746582,-295.2399597,-246.4703217,9.499386787,-236.8997955,-213.1889954,-34.38576126,-54.68730545,-23.44201088
-30.16406441,-225.8390045,-53.5169754,-6.386879921,-245.4818726,-178.7357941,-191.2682343,-71.0083313,-213.5080566,29.99354744,-60.17982483,-50.21918869
-26.58561707,-9.791254997,-212.3654175,-300.8285217,-63.47078705,-269.6039429,-15.20745277,-235.2994537,-88.41452026,10.54831505,-64.84244537,-48.80394363
-47.09786606,-20.86769104,-28.01681519,-27.41835785,-79.29659271,-53.61134338,-65.30644989,-212.7476654,-33.2814064,20.4907856,-18.69742203,-41.23987579
-89.52549744,-80.59931946,-227.8786774,-63.86338043,-358.0975952,-55.71650696,-79.67514038,-0.515069306,-265.7630615,-140.5557556,-354.5734253,-21.49278831
11.05755138,-270.4474792,-159.6977539,-156.0749817,-48.54689026,-112.2861023,-174.1786346,-202.1907043,-65.49498749,23.61058807,-94.73361206,-34.38840866
13.44926453,-102.025383,-74.7719574,65.4706955,-37.88545609,-166.2461548,-24.22240257,-136.2891388,-0.282146126,-9.958346367,24.86925697,-31.01072502
-42.90129471,-34.46985245,-215.7213135,-91.06813049,-179.0198975,-214.7100525,-100.6361923,-102.2856979,8.537932396,134.0931396,-53.0164032,-27.18430328
-23.16623878,-309.9537659,-85.04511261,8.239245415,-71.3156662,-88.35671234,-128.6672821,-19.69996834,-251.8249054,15.62418079,-18.02588654,-47.51285172
27.64102936,-111.6430664,-20.68636703,-71.95464325,40.68371201,-116.8895569,-77.78269958,-151.685318,-374.6481628,44.35644531,-46.89689636,74.57653046
-107.3962479,-282.2456665,-151.3972168,-35.11388016,-78.64565277,-12.90006542,-128.7060242,-239.4566956,-177.6817322,45.88567352,-24.45664787,-21.71040726
-91.5860672,-8.141824722,-102.5514526,-57.88892746,-20.69958115,-118.7799149,-32.44061661,7.387660027,-138.8745422,38.1136055,-24.00629044,-33.72021103
-47.94356537,-41.61697769,-140.3184967,-72.74828339,-30.83898735,-39.44474411,-39.14226151,-91.82476807,-229.3284302,120.1444473,-82.85984802,-36.26089096
-3.389798403,-68.47024536,-84.18829346,-54.84325027,-14.32500553,-52.59277725,-16.27605629,-129.7316742,-51.65987396,-8.854854584,-121.1737823,-46.74069977
-25.02338982,32.31428146,-59.37998581,9.06616497,-96.72590637,-92.90460968,-8.60828495,-104.448082,43.99131012,-325.3779907,-34.44553375,-62.23572922
-18.58877945,-107.029953,-190.0960388,-50.74798584,-50.85071945,-119.8364563,-61.30337143,-24.40385056,-0.632184684,48.23547363,-85.41066742,-73.71446228
-61.67000961,-55.57933044,-59.48938751,-92.73930359,-292.4155884,-84.59738159,-41.7419548,12.46265507,-303.5900269,-13.24285698,26.31009483,-90.90126038
-47.54202271,-339.974762,-132.3151093,-68.2108078,-106.3354111,-174.6071014,-21.06079292,-254.7372589,-314.9253235,-80.53449249,-22.55000687,-63.29752731
-17.25345039,-50.72964478,-174.7184448,-50.23820114,-73.8575592,-20.90452957,-29.76385307,-249.4232178,-21.89124107,65.84903717,-213.755127,-26.29251289
-25.5947094,-112.9335709,-123.7252197,-59.47789764,103.0353012,-207.5414429,-7.031051636,71.86060333,-73.32357788,138.9756622,-9.627807617,-114.5913925
-69.95153809,-5.513379097,-99.14378357,-38.82420349,83.58807373,-79.81362152,-56.10102463,-19.04268646,-103.8578491,-198.1213531,13.54703426,-67.82012177
-55.85115433,-95.26280212,-42.65162659,-55.42367554,83.89967346,-118.1072998,-84.55241394,-43.83807373,-50.64037704,140.5437622,-1.225470781,-38.93501282
-11.13572693,10.84303188,-78.44486237,-73.68095398,-7.344547749,-193.674118,-35.17158127,-88.19282532,-64.20063782,-20.01084137,-108.7483597,-92.7144928
-18.6850071,-71.39038849,-134.2904968,-57.18414307,50.6217308,-183.0244141,-34.98313904,6.604948044,-29.19424248,-29.3010025,-30.4077034,-107.4741974
1.466890931,-69.8870163,-154.5529175,-32.36066055,36.30405807,-128.7950287,-63.88729477,-30.13731766,-42.50225067,-41.7338562,-69.56952667,-97.64041138
-27.78621674,19.13812828,-248.6312561,-69.32222748,-41.18423843,39.63569641,-53.70423508,60.56144714,-77.70619965,-11.06349945,-107.7333679,-60.84772873
