LR_00025,LR_0005,LR_00075,LR_001
119.2045822,22.26979825,217.7447815,241.4671834
191.4716148,233.5746918,279.6744232,161.9056689
237.1702728,125.1969175,136.7857761,252.2437592
139.2776171,125.1325989,247.9699021,167.3444926
122.1186485,249.1501312,238.7632523,239.6617584
230.7493947,236.6779785,227.9489823,156.9495125
227.1934357,271.1118774,261.3243485,156.0324192
215.7942759,230.2415924,297.2162171,94.76597087
205.2365189,-46.98652267,246.4685364,227.4812113
177.419,237.2390594,125.6064261,179.9763222
166.9176582,220.9499664,282.8526764,146.0671616
-6.264053347,250.5714569,113.6382599,87.36065483
249.0068919,-154.7483215,29.3949585,84.17173382
84.53054682,223.8584137,93.80969238,213.712855
144.5345338,198.7042999,135.5873642,228.1293539
145.8764254,254.3108215,246.1396561,-36.24771688
123.5408554,114.6119385,249.5313339,-22.57275518
125.0165603,270.5126343,261.7369385,-98.98307864
58.91675312,-147.5430908,152.8009472,248.6902211
233.9142049,232.811264,14.51964331,98.1785329
54.46449026,246.8939362,235.9189301,275.9925842
237.1830851,148.3430481,252.7409745,121.7349904
212.9839223,219.7037506,274.0368653,-17.50028993
126.9124985,221.1837006,246.1044083,185.2344983
140.6714805,-3.739371061,197.9163055,264.072642
101.659462,250.2739105,135.2559986,247.0094045
234.4226023,272.0150757,289.0224457,256.177358
137.9552968,283.4594116,263.9585419,159.5207767
54.69585167,18.66825485,181.5338135,-35.00450388
207.3949839,184.1128998,267.2359772,251.4818878
182.0702769,-84.83286285,180.2762184,24.4674174
194.9715805,220.4635162,218.1070023,222.4935506
174.4732374,-28.43485832,277.6279144,272.2882487
139.283405,270.6856995,263.9442139,6.085164367
127.4821421,245.9984283,236.691124,39.9214223
198.667956,258.270874,230.4726868,13.18465614
89.7382202,-180.2756653,248.2555618,157.0154635
140.7955017,265.901825,227.5240326,-198.1785685
194.2529907,-171.4302063,216.2640839,125.7413889
243.0550232,204.8207092,266.5407868,174.5060883
225.3460236,-180.6431885,266.111023,57.1801402
141.7787832,252.5889587,209.1643219,77.4230194
246.7590129,271.6784973,255.085907,6.685994467
242.495168,-163.1852875,107.2566261,163.1451721
248.1603393,223.715332,260.2783966,10.49472047
186.4935424,129.7044983,158.7261925,248.9400533
173.2626718,15.52346325,265.8656998,12.18355307
177.5622444,302.0247192,251.7699127,15.4844971
177.7236099,211.0453796,259.8888397,-36.03087931
231.2571259,231.6548157,107.7182026,62.97517903
101.4686127,106.23526,236.4300461,137.4029745
80.32415391,292.3587952,270.2751923,226.8933792
115.891655,259.9067688,216.2145767,255.9507752
126.9759801,242.8493652,123.9926739,115.0550489
242.1133728,265.4103088,259.4178315,250.6439057
245.074707,211.5363312,236.9331284,265.2867432
130.1997706,200.0458832,121.1723537,223.6053848
81.68316588,241.2112274,226.7723465,104.5941601
109.2083511,264.0090942,46.11125185,108.6209936
127.7589264,260.1955872,183.1200333,132.9082594
142.9292933,283.3738098,29.09001925,262.1534577
220.1508179,280.9952393,79.02383425,258.3563614
230.3643239,244.1846313,127.1704712,265.2952805
236.671229,231.5576782,273.662613,161.8872051
235.0009766,200.6839294,99.71936797,265.319725
145.6779124,214.7142181,-18.05980301,241.3865051
238.7671662,255.5897369,159.0947952,202.5069351
249.7073669,245.1728058,272.1919098,263.6476364
190.3075791,259.6256409,273.052742,254.8318253
253.9062729,228.4052429,266.1119919,144.3553371
226.0970306,276.9900513,200.3680268,267.4727173
35.79317475,302.3786316,216.985466,258.7499772
206.1731644,248.6745758,259.4786759,261.464386
188.3829728,271.3324585,278.0773011,261.374527
234.2313995,271.4873047,246.9099045,286.5262146
-48.03857803,262.3372192,138.8062748,241.2174912
265.4250183,280.4283752,270.1258087,240.6576386
209.8956146,293.8756409,281.8105927,238.1760407
181.6978455,276.6724243,-194.9472961,292.1296235
158.1342163,280.8517456,240.3475952,258.8481751
188.6246948,250.2422485,283.9230347,-157.7301483
198.6598358,246.7628326,202.673172,122.9043546
218.0617218,273.0867615,276.6213684,144.6695857
203.8531799,277.1797791,276.8322144,243.5011063
156.3851776,225.3922119,269.1283264,267.986557
81.66307831,273.4727173,275.7198792,109.2399712
235.7512512,213.8661957,218.8775024,265.6872864
210.1531067,302.9326477,257.216095,277.115593
199.8851166,265.7866516,284.3541565,272.0303421
124.9474487,243.654007,262.6349182,118.8791542
177.4208069,251.9833679,238.1488953,110.2367988
149.2293701,268.5080872,,273.3956909
-24.30885506,254.940918,,246.7691345
298.3584595,252.8601227,,257.2702484
-123.4098587,231.8867188,,292.8769379
208.5528412,278.3101807,,284.055542
-67.7170105,300.8477173,,52.64758111
191.6594849,283.7249146,,248.6289063
269.7549744,235.8683777,,138.8209124
222.1658478,220.3746338,,237.9201813
133.582428,227.7879486,,274.2837219
207.5221405,266.2519226,,261.2167282
-127.6960373,,,256.1803665
170.1529388,,,199.6917382
202.8713684,,,136.0108065
244.6339722,,,55.31716915
209.2944183,,,102.5210838
184.6919861,,,17.2069702
126.7976303,,,132.1368847
177.9367828,,,245.1230164
142.0730286,,,262.357544
257.884552,,,221.2509003
257.0529175,,,264.7794495
180.2448273,,,242.2221985
235.2367249,,,259.6714478
223.8342133,,,188.4901886
212.5444946,,,228.4102936
255.3024445,,,-10.4756937
172.2761993,,,252.9302979
-157.0874481,,,265.7339478
188.6649933,,,264.1772766
208.0801239,,,280.1428528
155.0913391,,,281.0465088
-59.19205093,,,-327.3046875
27.23909378,,,-48.8224678
-8.040717125,,,262.3821716
229.3699646,,,251.6941528
28.2656002,,,297.7876282
68.70469666,,,265.797821
221.2451324,,,282.6596985
195.2924805,,,294.2773132
166.9301147,,,277.1057739
196.3792572,,,177.0954742
261.7986755,,,-426.025116
220.5021973,,,213.7411346
156.4972229,,,294.8274841
264.2199097,,,203.9846802
198.1303406,,,190.4225769
223.4201965,,,9.447665215
196.6151123,,,190.4198151
167.4710693,,,259.396759
282.3542175,,,281.3648987
-96.82614136,,,249.2444916
-115.8087921,,,308.7138062
-145.2540741,,,246.8960724
166.6311493,,,267.5425415
74.80150604,,,276.6170654
-112.7562408,,,296.7251282
233.5085754,,,267.4127808
246.1921844,,,258.1925659
229.5349731,,,243.6174622
227.9908142,,,228.3032684
179.7253113,,,221.5332642
177.4520874,,,299.92453
48.61570358,,,268.1688232
210.7725983,,,263.9361877
203.6726837,,,-73.15930939
183.8555298,,,265.246521
217.5106049,,,263.9511108
-37.11310577,,,260.5084839
-32.34690857,,,255.6267242
179.3194275,,,285.1411438
222.5705872,,,269.1791992
284.7493896,,,267.6892395
205.7129822,,,267.2175598
227.8273926,,,276.8914795
235.8933258,,,274.7156982
233.9196777,,,-51.28820038
290.4121399,,,276.0587769
159.7387085,,,276.7832031
188.6803894,,,279.3677673
210.8299561,,,267.3196411
209.5860443,,,264.2743225
251.8530273,,,263.3450317
177.8322754,,,232.9173431
199.2169037,,,245.4798584
-33.0030632,,,215.4464722
227.6471405,,,291.9393311
235.8682861,,,-120.8064194
-10.558465,,,258.4273071
204.2537994,,,261.3202515
244.1035156,,,271.2100525
181.8332062,,,254.0566559
86.43270111,,,
194.6806488,,,
208.0381317,,,
208.3473206,,,
216.4234161,,,
108.9918289,,,
241.2827454,,,
186.1864777,,,
200.0681,,,
218.9426422,,,
195.8693695,,,
214.7882843,,,
-45.80688477,,,
261.881012,,,
150.7088928,,,
231.0623474,,,
241.5806122,,,
190.3811951,,,
197.5350189,,,
225.8872528,,,
290.9949341,,,
115.1273193,,,
-63.54740524,,,
183.1464996,,,
227.3731079,,,
143.6691284,,,
233.9542694,,,
208.2822723,,,
210.1989899,,,
253.4496613,,,
250.4388428,,,
230.2750397,,,
197.8273315,,,
214.6469116,,,
305.9580688,,,
208.0459442,,,
146.7835388,,,
258.536438,,,
274.5378418,,,
236.338501,,,
272.599823,,,
-156.817337,,,
41.21883392,,,
234.8194122,,,
207.4599152,,,
177.6656036,,,
237.5042572,,,
228.7341614,,,
281.3491821,,,
226.8031616,,,
185.569458,,,
286.7342224,,,
248.6000061,,,
203.0249023,,,
251.270874,,,
251.6715088,,,
232.7271423,,,
193.1572876,,,
255.0453491,,,
235.2139282,,,
217.2669373,,,
269.7347717,,,
231.6224518,,,
120.3874359,,,
251.1463165,,,
262.9291077,,,
59.58655167,,,
241.4985046,,,
213.1540527,,,
253.5193329,,,
227.5119476,,,
283.5571289,,,
-15.48798752,,,
239.6616516,,,
253.8026428,,,
254.0919189,,,
261.9474792,,,
247.0380859,,,
