Small_Model_Run_1,Small_Model_Run_2,Small_Model_Run_3,Mid_Model_Run_1,Mid_Model_Run_2,Mid_Model_Run_3,Large_Model_Run_1,Large_Model_Run_2,Large_Model_Run_3
-150.5295715,-163.3168945,-182.5293732,-126.6413422,-134.9859619,-122.1199493,-129.0861206,-136.0113525,-144.5086975
-150.6833344,-164.0179138,-180.7353668,-125.7904434,-133.3308105,-121.2944946,-126.4360657,-134.3368225,-143.5339355
-149.792572,-162.6497192,-177.0552216,-124.7167206,-132.8032532,-122.0136871,-125.0179977,-133.1299744,-142.0730591
-148.5433807,-160.77034,-175.245575,-123.920723,-132.5624695,-120.6399307,-124.469101,-132.1329651,-141.4108429
-148.5695953,-159.7587585,-174.3918915,-123.1530914,-131.3836823,-120.1377182,-123.0559235,-130.8779449,-141.148468
-147.538147,-159.4194031,-172.4148865,-123.0364914,-132.3916626,-120.0614319,-122.2244568,-130.1765289,-140.9125366
-146.3772736,-158.2794189,-172.9436646,-121.0667648,-131.6854706,-120.2847443,-120.8099823,-127.9555969,-139.5428772
-145.8434296,-157.6772308,-171.4606934,-120.7557983,-130.9912262,-120.2854691,-120.2184753,-127.0009766,-137.7390289
-144.7087402,-156.5392609,-171.0300293,-119.6530838,-127.9957352,-119.2958069,-120.3521347,-127.5084,-136.2529907
-143.4879761,-157.4898987,-169.7557373,-118.8207703,-126.9391785,-118.5486526,-121.3105087,-126.6238708,-135.5669098
-143.1373138,-158.0175781,-168.754837,-119.4889679,-125.9048004,-118.4466171,-120.6217117,-125.7984924,-135.0840912
-143.5930481,-156.495697,-167.1900177,-118.8433228,-125.8639526,-117.3939362,-120.2778625,-128.6380005,-134.8705292
-143.5605927,-154.6371155,-167.6940308,-117.5099945,-124.0164032,-116.6590424,-119.2500687,-127.8650589,-136.0576477
-142.6100464,-152.4816589,-165.0118408,-117.6872482,-123.3942642,-115.1386032,-120.3353577,-127.9989243,-134.8369751
-141.3852234,-151.5952759,-164.7532043,-116.354599,-122.6491089,-114.217392,-119.8233871,-127.4748383,-133.6967773
-140.2395172,-151.6530151,-163.5549316,-114.9580307,-121.9787445,-114.1652069,-119.4730759,-125.9153442,-132.4902954
-137.9041138,-150.5533295,-161.307663,-114.1582336,-121.6058731,-113.4950104,-118.7307968,-125.1890106,-131.6599426
-136.4822845,-149.9280701,-159.8051605,-114.4807663,-120.8924255,-112.3800812,-118.2326355,-124.7238846,-131.3401489
