batch_size_24_Run_1,batch_size_24_Run_2,batch_size_24_Run_3,batch_size_32_Run_1,batch_size_32_Run_2,batch_size_32_Run_3,batch_size_64_Run_1,batch_size_64_Run_2,batch_size_64_Run_3,batch_size_128_Run_1,batch_size_128_Run_2,batch_size_128_Run_3
-165.7768097,-139.014328,-169.3758545,-142.6625214,-148.1038818,-163.0766754,-131.4096985,-169.7854004,-172.5207062,-156.2493439,-126.9057922,-135.6458282
-165.6451111,-137.6724396,-168.0087585,-141.1251373,-149.4046783,-161.1050262,-130.073288,-172.9367523,-171.9452362,-153.3106689,-126.6670151,-134.2922516
-163.6461945,-136.954895,-169.0352631,-139.8443909,-147.9568176,-158.0268097,-128.7777557,-171.0779266,-171.3864594,-152.6467743,-125.6848831,-133.5303497
-163.6588898,-135.2589722,-168.2539825,-140.9784546,-146.515213,-157.4289703,-127.3791885,-168.9562378,-169.664566,-152.5145569,-123.338562,-133.8808594
-162.660141,-133.0235596,-172.5512543,-142.5547943,-144.9130096,-161.7672882,-125.7990494,-168.0869751,-167.4323425,-151.4058075,-125.4536819,-133.9000244
-163.2117615,-135.379303,-173.1188049,-141.160675,-143.4660187,-160.0703583,-124.9754791,-164.1620789,-166.0467072,-148.4756927,-124.2388992,-133.891983
-162.1907501,-134.3514099,-171.2388611,-139.8363953,-141.371582,-158.4434814,-124.3860321,-162.6650543,-166.6667786,-147.97789,-124.1951065,-133.7891846
-161.6587677,-133.0516205,-172.5880737,-137.692749,-141.20047,-156.1554108,-125.0293045,-162.2636261,-165.0862579,-144.313736,-121.5701218,-132.9760437
-159.5155029,-132.3571472,-175.9049988,-136.0731049,-140.6159058,-154.6862488,-123.9725494,-160.6194458,-162.7385101,-142.8185577,-120.3475494,-134.7674866
-157.9065552,-132.7127991,-173.1802521,-135.4645386,-140.4112396,-152.7979889,-122.44841,-158.9466858,-160.3164673,-140.0596619,-122.145134,-132.9183502
-156.3326416,-133.3418732,-171.8626709,-134.7208557,-139.1199951,-152.4378815,-122.6487198,-157.1291962,-159.3673248,-138.8311157,-122.4207687,-131.3801727
-156.1065216,-134.577301,-171.1576385,-135.5276947,-137.2081909,-151.7625275,-121.7675018,-156.482605,-158.057251,-137.4369812,-121.4275055,-129.9216309
-153.9219513,-133.0971222,-169.1955109,-134.012558,-136.1864471,-153.8783569,-123.1156082,-152.6734467,-156.1611176,-139.4510651,-120.885498,-128.9457245
-153.8271942,-133.0586853,-168.3768768,-132.2232971,-135.8947144,-151.0049591,-127.632515,-151.1513824,-155.6927643,-137.9228363,-119.9795914,-127.8763199
-152.8861237,-133.1956024,-165.9251709,-132.0288544,-134.3559875,-148.8021393,-126.7835693,-150.3361511,-154.4542847,-137.9969788,-119.7812805,-126.8159943
-152.1716766,-132.1958923,-165.102005,-131.3130493,-133.0548401,-147.1273804,-125.4637756,-149.2845306,-153.7154083,-135.2875061,-120.5762787,-125.6263885
-151.8275757,-130.1083374,-163.6285553,-130.2641907,-132.4730377,-147.2042999,-126.9649811,-148.1399841,-152.2421112,-134.1427002,-119.9155121,-124.4477997
-152.1938934,-131.516983,-162.1278229,-129.1320038,-131.3387146,-146.1916962,-125.9031296,-147.1968689,-151.2505493,-133.6681366,-119.6608582,-122.1955795
-151.0336914,-131.4274445,-163.5927582,-127.4921722,-131.1623688,-145.5703278,-125.5879211,-144.2898407,-150.4198151,-132.9557343,-119.1060638,-124.5221558
-149.8340149,-129.6643066,-160.5269165,-127.5812683,-130.0251465,-143.782135,-124.4029541,-147.8074799,-149.1787872,-133.4026947,-121.4222336,-123.0488052
-150.7225037,-128.5464935,-159.8435669,-127.996666,-128.9512177,-142.882843,-123.6097336,-146.3936768,-148.2253723,-132.7078094,-119.6581039,-122.6922531
-149.2221222,-127.8100891,-159.0137329,-126.4917221,-127.795578,-141.6373291,-123.7049942,-144.9240875,-147.1943665,-131.4536285,-119.6362839,-121.7784119
-147.2777405,-126.3798065,-158.2156677,-125.8783493,-126.1637421,-140.7485504,-123.0352097,-144.6998444,-146.040741,-131.185379,-119.026741,-121.3915558
-145.8222351,-125.0139618,-157.0261688,-125.7206192,-124.4832993,-140.1194305,-122.6103897,-143.9967804,-145.1256714,-130.5110321,-118.6197357,-122.0541
-145.6578522,-124.1278763,-156.7415924,-124.9135666,-128.5176697,-138.5808563,-122.183609,-142.9647369,-144.3018494,-130.1679077,-118.3570328,-121.12883
-146.8105316,-123.4076538,-155.8275604,-124.8975067,-126.8991852,-137.3666992,-122.0790329,-141.282959,-142.8323517,-129.0479736,-117.7004395,-121.0710754
-146.1523132,-122.964035,-155.3055878,-123.3291092,-126.3983536,-136.5034637,-121.2874985,-140.8689575,-141.5636902,-127.1061172,-116.6694412,-121.5111465
-145.3349304,-122.5904007,-154.2611694,-122.2480316,-126.1586761,-136.5563965,-122.3993988,-140.0772095,-139.9685669,-126.3519363,-117.1468048,-121.2467194
-144.0663757,-121.2643433,-152.1761475,-121.194191,-126.237793,-135.2327271,-122.2689209,-138.7856598,-139.0128479,-126.0239563,-116.3937912,-120.0851669
-143.0982056,-120.4609299,-150.6833038,-120.5806198,-124.9567032,-134.5070343,-121.860611,-138.8251801,-138.3756256,-125.8170547,-115.6859665,-119.4945068
-142.0507355,-120.3165665,-150.9146881,-120.5870895,-123.8211288,-133.5601959,-120.6899261,-138.1900482,-136.7315216,-124.9677582,-114.446228,-118.6252975
-141.5672455,-124.1937027,-150.0002747,-119.6131592,-121.5821991,-132.0119629,-122.6160965,-137.4394836,-135.7523193,-124.3831406,-114.4703217,-118.0375824
-141.5369263,-123.8395844,-149.2633057,-121.0587082,-121.0011826,-131.2677307,-122.105423,-136.0778046,-134.8674774,-123.6647644,-114.0034943,-117.2952194
-140.3250122,-122.9070892,-148.7608032,-120.3107529,-122.3394318,-130.3334045,-121.2848969,-135.1769104,-134.5259552,-122.5814285,-113.3438873,-116.6464615
-139.8042145,-122.4924011,-148.2902832,-119.7636642,-122.1458664,-129.4982147,-120.673233,-134.9233246,-134.5167999,-121.8815308,-113.1330872,-115.9197083
-138.4854279,-121.4471664,-147.6207428,-119.4628677,-121.7924728,-128.3504944,-120.4887085,-134.2589874,-134.1620178,-120.5245361,-113.394516,-115.6133728
-137.4309845,-121.7123108,-145.9954376,-118.6107712,-120.884697,-128.3158417,-123.0898361,-133.3330994,-133.4803619,-119.8944244,-112.9683228,-115.0906754
-136.2171936,-120.7137604,-145.5749054,-117.7803574,-121.1982803,-128.2154541,-121.0518799,-133.1468658,-131.8101044,-118.7995987,-112.3805618,-114.9772339
-135.4770203,-120.5606995,-144.7996063,-117.5430603,-120.4447708,-128.2050323,-121.1995544,-131.8067627,-132.2900848,-119.3170395,-112.2338562,-114.8101807
-135.2387238,-119.5088425,-143.6208801,-117.3515549,-119.9270401,-127.4880753,-122.0550995,-131.5892487,-131.1128235,-118.6342773,-111.5669327,-114.0144577
