Batch_Size_24,Batch_Size_32,Batch_Size_64,Batch_Size_128
-28.54781151,-53.06612047,-92.48953407,-45.95357117
-42.08710608,-26.19064458,13.71786499,-55.82000605
-26.88046201,-2.996562967,-80.68130749,-6.887029017
-34.32913617,-95.55516052,-58.24850354,-163.7000605
-67.4233373,-21.49709703,-33.32535108,-8.002580544
-36.47566593,-82.67131806,-41.46273295,-12.49797249
-47.17207337,-49.46256733,-193.4327028,-26.43704533
-71.78702799,-49.68183772,-27.20047712,-13.42487081
-61.88580322,-89.37166341,-112.3787104,-24.19936116
-133.7288564,-66.57549794,-82.90241242,-36.6663386
-56.9920737,-62.25005466,-26.53204409,-12.6946195
-40.02605692,-20.63532194,-38.56104903,-34.89699105
-64.05683644,-96.28840607,-57.4169906,69.59734598
-28.95052026,-16.64195697,-52.49462556,40.07442409
-37.85280578,-88.84724425,-30.80036418,10.95333735
-56.30743917,-108.835317,-30.90370655,-59.6518809
-54.5750707,-5.64350089,27.19964472,14.5906601
-53.24147542,-119.7628848,-34.46937863,-79.47633933
-50.4189148,-94.51139197,-56.78523396,-29.18243408
-71.68463263,-118.4214732,-98.78192201,-56.3257103
14.72353363,3.179939588,-52.94161097,36.73160904
-79.75316493,-64.12628682,-43.92274284,-46.79379653
-33.13860893,-58.28772988,-59.67783802,98.79435642
-35.57456716,-82.23006184,-90.3732036,-70.48099058
-48.03340912,-244.6379242,-68.56233344,54.78307534
-27.82627773,-260.2744306,-92.88491378,-191.0676664
-62.6066068,-67.24516933,-23.23624722,55.73176321
-17.04672241,-129.2613233,-7.154717127,-42.0900472
-56.63214429,-114.7927119,-125.1343598,16.21253521
-35.44855881,-53.24781827,21.50527698,31.73470004
-34.15774027,-103.2402928,-70.8542153,116.7005348
-25.93289045,-116.4517771,-135.9783135,-11.97883716
-57.58608691,27.03608449,-84.71688337,60.26885064
-31.26710574,-10.95278176,-127.0127667,94.48689395
-23.28504006,17.82267094,-66.20032224,147.2907224
34.35750072,-64.22092438,-11.65778858,42.41511789
51.26325734,-48.59492526,16.56062828,140.2150904
-9.426851592,-75.64092255,-65.14439472,38.28204601
-44.13791784,-49.59997463,9.38612746,38.11513805
-47.47019132,-100.8909899,-72.53060279,77.45593263
-52.29137357,-73.94609516,-60.47395802,64.19070624
-83.17879232,-74.4339377,-54.79349518,36.74972154
-20.0643843,-90.42991751,-50.7093684,120.9519415
-5.9893802,-62.29886152,-74.6598142,80.94338354
-15.30093813,-21.78555169,-107.0905126,81.93938191
3.004565555,-78.82934696,-72.80753709,88.23775737
65.98919231,-118.5213547,-84.07076391,67.95734407
-31.23327017,-106.1802089,62.33362952,-173.1747182
5.489865617,-23.85080449,-7.193191517,89.2885844
-22.85434914,-105.8456167,-76.030852,18.6568381
-33.39795049,-67.72449526,76.39525542,124.565183
-51.58590317,-70.44803174,-119.3373642,1.631011957
-25.82996686,-66.85962296,-106.0146548,49.04457252
53.64221892,-75.99254988,35.05229187,-93.65108554
3.337041223,-24.53077968,136.4257723,190.0895087
43.85473126,-24.71553055,-39.16537698,-19.14822642
26.21893269,-24.42662557,10.59199268,98.03664525
36.24853897,-13.10416404,64.73957979,103.3114878
43.54969152,-6.836699803,84.05058478,-44.8336868
-39.25499376,-69.03716523,91.98067727,50.60298666
50.2013394,-46.1967144,31.24522715,41.32264454
78.20436986,-16.73184713,-150.6266238,55.69560625
64.4382232,-61.58635966,76.414388,-17.54830427
58.29892674,-0.278541563,-121.7401256,53.00764466
37.56907366,30.30520455,75.00245952,1.9197998
78.11994901,12.46992684,34.5719795,147.4859645
-59.66618467,-14.00556184,10.70366352,-24.85061773
-0.779576617,-26.40077432,-185.4456546,43.48139795
54.01445896,-27.35627111,-94.69811759,-333.4361064
-16.2611084,-75.78981718,-29.96237961,91.24887593
127.3834496,-145.1472066,-166.6828931,35.66216149
97.18722027,23.7510694,155.0139224,-23.56030686
60.02054055,20.41692257,22.69332186,66.66763815
22.98076116,72.78649141,55.29597856,131.2871729
83.56196722,-68.30918898,32.07812246,78.5469246
14.36531322,-93.55363909,75.77857971,73.20114643
-49.36544959,-25.09169165,12.83716328,99.40151977
-46.97569911,-29.09905298,213.7081706,46.8109563
-12.69907618,57.84821098,31.46940914,54.83492027
-35.5304966,52.47395898,96.86935107,141.2048855
-72.02705892,22.16237832,52.34893544,62.39338461
57.18827629,-39.224684,189.8046163,40.7053324
-24.93985009,-14.09439214,13.56524663,252.0478668
-6.658818567,-3.98180898,23.49055607,51.73179117
-106.0166334,-50.61432139,142.3538438,249.1533305
-87.30343246,-89.02872723,119.9749781,127.7880885
-97.54292998,31.93805633,88.74619041,-86.6166636
29.34577814,40.58648363,54.80238039,106.4255295
19.53092224,-75.12458929,138.6275062,21.03383637
45.96127955,83.85082498,15.8235925,243.4361369
-61.03633515,38.77923012,106.3185501,69.34229438
-29.25232061,52.7334334,147.9518882,3.955184917
20.47732353,-102.1025202,-33.10577557,-23.02825929
18.40778446,-24.62011447,93.97532403,247.1617686
-54.58339724,-82.1959559,-75.51977985,-20.71812311
-50.3960406,-14.35858026,26.51903533,242.393631
-38.03659948,-0.019825617,78.04588317,52.76193743
64.30752055,-57.14653269,-7.730965933,-158.1733971
130.0343466,29.69535065,-142.4510956,144.5419744
53.15281803,-80.4050344,58.3871714,-50.76614383
-48.15461857,52.73835501,41.25425084,143.9231287
135.6814877,-117.9587962,-54.07486598,174.8817329
67.71323586,68.83553567,193.1516546,199.6908773
14.61567562,28.85120027,67.35394669,13.76422754
56.27772221,45.0287156,145.8898315,152.9109548
100.6786626,-68.42929905,-6.806752523,219.0199483
118.8543793,20.00081824,-2.926478067,151.3245214
-54.81995407,-48.9177777,-17.99095408,-153.2331619
67.19526673,27.81943702,54.74298731,238.4650218
14.31937727,-52.37678021,115.7768402,-180.2404658
96.22209823,-45.14496359,57.2449881,-64.96123574
252.803126,76.60378265,159.0699463,-181.1516978
91.7625122,114.158755,64.20183817,144.1743215
97.56882094,121.6708692,157.3058522,144.8944588
154.1583252,106.1451357,136.4871801,116.4284096
71.9620158,136.8919246,236.556956,27.93054835
68.69839477,86.90332413,170.9899216,86.84652075
37.06523196,79.42947704,86.29730987,234.6336415
-76.83057653,23.14010491,24.0602722,253.0430756
12.72203445,-89.79880649,3.859641252,144.8676561
-111.1744436,94.46178991,128.8479506,223.635849
49.89490257,159.4949352,111.7710393,80.76211294
181.2821541,51.30254619,1.407035827,129.7338155
-155.5739822,-49.64459546,128.5543515,123.8587011
38.93826803,52.33845648,-7.009342513,152.1353963
9.41162934,142.5245158,142.7700907,197.5352504
51.65187518,212.4628245,135.3932305,177.6179721
12.27331289,60.49011706,227.2435964,137.8514735
116.4686279,100.7445475,117.3516452,67.67828622
138.4414787,99.8536733,25.46085867,188.4340156
-29.1905698,189.7248891,-135.6524894,121.3073807
-7.52011361,112.173055,116.8100942,161.4687376
64.61459669,118.7030792,171.2873077,-26.1136627
209.7681935,44.28382557,100.6358118,81.77525711
-89.21499634,107.3832626,154.7433551,218.9700317
175.5242423,75.41657234,133.7565962,148.9889043
23.71803314,164.0589206,107.9243062,129.7398049
243.853363,108.8394318,215.746638,27.6753133
232.5133463,71.18930753,142.5170806,161.5224152
245.1160583,58.40569561,49.97488975,25.30844755
205.4607697,210.4728139,34.72515615,116.6684112
34.75927227,158.9236615,245.9144287,5.532697037
147.3074672,165.9582863,27.44565774,-125.7638359
191.6516855,14.34299152,133.0964308,86.57455953
56.71422577,162.195207,73.94904073,101.9294332
252.5933024,7.0385437,106.9487051,175.2890625
234.2896779,26.68032582,132.4498087,35.3917389
44.46331788,107.3637136,139.1310762,2.893193543
74.9922727,235.8920187,93.01155091,118.458491
169.4612694,43.6279246,-130.2214928,145.4073054
129.9032682,131.7958629,-45.9361558,-50.20151773
284.2274678,114.4976323,185.1617762,-66.02078247
58.87889734,31.79926141,25.64930854,-98.81019436
172.5616417,167.5328681,96.82801689,158.1917941
56.50714621,66.87601217,-52.87935639,151.0068156
26.29443615,137.3947576,179.3392919,-50.44323476
260.8797557,130.7995834,211.9054998,-4.970321633
-59.01017951,103.5276896,199.7910296,134.1127036
102.2089564,230.4563344,114.4309781,207.6389592
250.6415863,52.4788561,77.38765526,73.87790937
104.8360138,246.4429881,30.46274059,177.6738739
157.24639,228.0778096,124.8877156,32.50446574
155.2607641,-37.77298293,150.427255,30.068985
109.0819905,-15.3213094,84.1823171,-189.9309057
142.9770775,157.0159086,168.3442637,217.3443756
127.0515437,132.8945796,109.6741905,258.033727
212.2157288,128.4685542,-18.96384938,103.0220896
82.8543803,101.3319193,128.5603841,165.2311681
22.58237266,124.9294739,122.9733022,33.12701927
131.6963437,179.7242508,256.6087494,175.1563924
104.9490344,237.7002564,194.793218,99.8670705
-21.49743272,138.5373485,56.58026537,89.93699552
136.1108704,227.275945,141.1885619,108.5330502
169.6874329,113.5889791,171.6984059,165.3932893
-81.70637513,169.8992106,167.7738724,112.1161311
-63.09661863,184.0681928,-15.20532735,271.9366455
115.4635417,178.7447726,43.62962342,89.67870713
108.7524872,260.2796427,-58.59102373,-123.4193331
23.52684531,128.4872837,158.4917933,-84.79816183
233.4252828,-14.82779566,24.53468576,254.9813945
-124.3216747,230.1763967,70.88984267,54.5506606
117.7545598,237.793691,-52.38609317,154.2099381
238.4095103,196.6485768,188.2235324,160.9045029
120.0504277,186.1429049,129.86085,147.7701652
249.1956991,141.7488683,-53.8274765,-23.91664762
69.1503207,163.1150004,238.7209473,183.4733512
122.9120223,256.2560679,86.41071573,154.6113993
21.78119279,231.9618734,63.37316893,-49.43520608
205.4906514,242.3462728,131.6073964,176.9931551
159.5317745,265.1990662,-106.6636057,96.49378872
171.6828289,165.9567897,-12.10135397,160.3502156
58.97826704,253.8146973,-189.6138407,75.7232558
118.2955831,266.13974,68.44531633,110.5320333
159.9838791,273.0371501,-28.60346604,165.5240161
215.1426849,267.4920451,79.6355591,147.8478432
194.6216288,-24.8309911,78.86193436,268.4043426
165.2461929,149.1038437,1.865582767,173.0963351
137.2023366,261.8446859,-217.2558034,28.11414592
257.3352458,153.9583448,-96.80293878,171.2983021
275.1987915,29.8163045,83.67956543,162.8193378
170.5094293,166.1751162,157.6099065,42.67433673
247.5586446,154.7084808,-103.6944071,253.6072438
225.8275502,197.9992447,-15.54545083,-31.07065772
159.26113,172.2553914,106.3563512,174.4327898
218.2211965,130.3623784,148.5964559,81.7500763
166.7794844,223.1234945,134.2068558,-52.36813353
169.8530629,158.8193817,34.16039402,46.90329489
164.6585299,218.9695155,262.6056417,252.580129
95.46685282,235.3651072,84.14557712,141.1445312
251.9817454,269.9029287,33.66460798,1.105173757
232.0427043,146.7913615,46.13732734,61.48850472
149.8000825,202.1306966,152.2465642,239.9018606
251.638565,60.5988973,94.56496301,156.6009963
166.25687,152.6916033,223.8981272,260.3294474
268.6805013,108.7466074,156.3196379,254.4950307
96.01457915,64.16330941,47.57668812,277.5427653
98.29089992,104.9755554,48.16467287,148.6106148
89.53370158,113.5457052,141.2510007,93.4260152
80.91749065,238.2553711,96.67952983,25.57600595
220.2577769,266.9832662,42.07212322,38.44561578
177.2983862,168.4962948,104.0258128,261.9193166
243.1516164,-45.4924418,-30.36766687,138.6259097
252.9627787,269.4565786,117.486557,70.8782908
156.9318008,262.764801,-9.27978515,265.4883219
240.3184,89.58390762,137.4103317,248.5431417
156.4910761,32.17405573,270.6468506,191.9554863
186.1152941,96.4468028,77.493337,89.76781399
186.2270584,82.03108977,182.4041179,84.03277396
164.3659064,174.7421351,188.1558743,139.4608231
257.9584503,122.3819784,29.59320325,164.0515321
159.706262,166.3508956,122.602801,160.0288074
259.0725606,146.606547,140.3363419,211.1819865
186.9786326,219.6012319,58.4936727,133.5043818
263.9444885,242.4704437,224.3988749,87.2371378
242.4696248,-50.97722373,-75.49976097,265.800944
255.5565745,-53.01873395,235.2854869,155.3015785
132.36964,141.8898341,-92.97314453,248.7979228
210.9767049,239.7500458,45.75749746,-94.93933615
239.7442119,211.0972519,53.56887905,242.6901703
256.5421092,173.2678757,106.2373479,173.8503336
186.1160609,98.05303195,48.46492004,52.47445806
255.0943756,-63.83937264,170.2550213,-60.50153476
249.1277618,222.668129,-101.1353992,247.9762319
195.0929591,226.2131348,109.2233683,-71.93115747
147.6271098,256.3741074,89.75273608,207.5903371
223.3119456,278.4976654,89.62688447,188.8616174
264.0688578,227.1548996,18.58252587,-43.52459081
244.3108368,112.5642724,170.3754444,260.1569214
244.3970897,246.4811783,156.0734749,97.79496955
239.8637695,230.1972885,120.8863474,108.5034383
262.0877024,71.49205018,106.2538859,20.76801937
147.3933741,270.4259949,95.89850616,28.90103628
73.5358683,73.2327385,173.8541304,83.15004987
253.3777313,-31.78219223,104.9633433,-23.30719757
45.0009206,258.2793961,276.3564249,124.2503103
239.8225454,259.7759705,100.6563873,270.0348256
140.5822703,143.3305378,184.5785782,265.2609914
255.8554026,114.8832283,70.5030721,265.7543386
263.9881694,247.6828843,229.6331075,114.8598633
251.424825,245.8075257,251.5613454,230.0366415
131.4272092,272.7469177,166.4089413,27.88602705
286.2596486,273.7790833,86.0309957,-63.40426382
158.2568213,226.3121872,229.371226,57.53322188
242.3223826,264.078186,227.0518392,186.3916372
275.448405,252.3635101,167.5407093,36.81013363
257.5083262,205.1064911,263.4598287,240.1520386
263.4815216,255.1595765,277.5306091,242.3232473
272.0326335,228.155983,208.6289927,253.8773498
121.4063441,132.2365236,269.16804,256.5924988
115.5336965,130.2626919,149.4475581,249.9861705
121.7548251,248.9472504,245.1472626,257.4689128
246.3960267,246.9081192,137.7695643,152.8381983
296.8493042,255.0380707,243.8086192,273.3436889
120.6400833,242.1152115,253.6974487,183.7525419
6.4042969,221.9923249,-0.056142827,258.300532
198.4573364,146.4819164,112.0844116,164.223601
258.5952225,264.8696213,236.7233531,97.452713
291.2590027,248.4666291,192.6536128,273.69163
111.7466927,146.5035209,96.1842651,164.1416944
257.4855271,117.9152383,250.0416972,12.81193033
243.6153183,220.3523941,114.4560242,77.60428873
235.7574844,120.5174446,-44.01310619,270.2381541
109.4595304,95.88126755,254.8505605,257.5344747
121.9095349,238.0961152,59.92277177,266.7833862
185.8452378,224.9307099,223.0052846,171.4756369
-41.5018158,263.2093506,260.043335,261.7759806
-24.17926503,116.930193,28.23396813,246.1751251
-11.7041397,244.3395844,106.8497467,-102.3511028
109.1003799,273.5854187,139.5219523,231.1000061
144.3578979,154.2837534,120.4442062,213.4128011
97.73728942,119.8654222,109.5633392,230.1672516
-92.32547,125.5833004,236.0394694,49.55125302
231.9636841,239.6926041,41.4139608,160.9721635
-25.13680265,251.035614,234.9889323,192.1945954
-37.1246185,115.2032089,92.97297106,277.8884176
255.18116,-8.2783356,132.5008281,109.5491282
236.6478271,258.0876465,109.5621262,176.9293098
213.2725677,123.317791,170.311927,48.9622294
286.6661682,216.2435913,20.98456193,191.5314267
220.9445648,268.0053711,262.383138,191.3447444
272.5618896,248.0335388,134.9856771,265.6694285
145.1673889,231.6726837,254.8957214,128.0460866
55.01276016,249.4632111,198.5310822,261.8818156
-12.51111603,135.3361117,243.5742188,175.5909493
3.723204613,129.3916445,143.6556397,171.2266312
246.1424408,248.7569886,232.2729493,98.17275208
177.8950043,235.0613251,223.6105652,152.4401411
279.3616943,122.3087702,283.4496307,268.5765635
66.09064484,110.6678445,268.4830857,192.265557
251.4041443,259.8917008,-160.3543549,126.9713847
-337.8514099,234.632576,82.12337875,-150.3621521
264.8724976,226.1912384,234.9303513,201.6054713
57.69126511,34.16959002,241.0838699,63.90114467
249.2765045,227.2254334,263.6597367,185.277401
234.2100677,152.1970711,239.9736481,284.0413411
240.3068085,133.1821349,261.8612214,199.374443
263.631012,259.9845429,97.13326645,281.5271505
225.150238,230.4781265,251.8821564,109.4742012
224.7719269,240.7776261,276.6460876,249.2358653
245.6058502,239.7383194,272.1792145,286.698466
238.3869629,255.6399689,231.2337037,289.2165425
250.6000671,-5.9690399,150.2842979,247.0542399
215.7462769,114.8072281,94.15079879,179.0382945
242.5119171,276.0547638,239.800354,265.3178202
13.99189663,250.1484375,236.9666214,124.8226319
265.6570435,119.8095951,265.6858979,276.8483988
294.8321228,159.8818474,160.6317024,264.7120768
264.8037415,-4.8178177,242.4344483,246.3052317
229.5103149,237.0821915,246.1707687,138.1501236
244.082428,264.3292084,278.5585022,156.7155863
247.4771271,31.76288986,251.7955094,273.0396881
225.1987305,220.2192688,119.8958397,51.07856114
273.671814,280.6668091,135.6430931,260.9898885
283.1005859,271.3789063,58.91534805,64.5862325
-37.48772049,295.848053,231.1417465,181.0809059
232.7189636,149.9937592,138.7076165,258.1547903
-9.342618942,213.5286713,43.68657685,64.39993572
-36.13845444,291.1812744,141.7517872,79.42590333
232.2228546,281.3757324,165.8300457,-43.27456031
15.60033607,-34.37039948,165.5994158,240.7479655
15.80873299,-4.224928379,69.22221373,163.8425751
224.3369293,258.6950378,86.60520079,266.380839
297.3843689,244.6343384,122.2934249,135.0363719
-503.5558472,250.1676025,-0.13912965,260.034729
10.01630783,212.5796051,254.0300904,246.9467367
-35.33164597,257.2415466,-21.95411685,268.0863851
195.062149,254.3345795,261.2254334,187.3319625
215.2794342,254.1300354,139.2885056,156.7170487
264.2049561,22.06162643,170.7724495,251.324
288.936554,3.655302525,259.8097763,170.5499191
294.026886,228.8974152,249.233551,235.8564402
28.81179619,292.3804626,115.403986,142.6184184
277.9386902,292.6607361,277.8595887,268.3489533
22.51176262,302.4966736,84.89478686,263.352712
189.1161804,277.137207,231.4373779,260.7889913
257.8844299,292.4446716,38.49809265,70.1504008
262.4303284,272.8778076,250.8750763,249.8024699
237.8855591,274.4120178,296.0009003,134.1872457
221.5102997,-211.0970001,236.2252121,128.1578878
236.0599213,234.4711304,240.7318878,252.6200358
268.7273865,291.200592,40.06951905,156.5298411
278.5057983,268.0169373,245.7644959,273.0274201
230.6179962,240.1330566,235.6999512,106.2741184
197.552948,297.2716675,-36.72382832,267.7291107
255.3442535,216.438324,254.7655335,196.3536148
237.7978363,307.4907532,-170.0051575,108.3464966
271.4949646,215.7457275,272.8222657,92.20872881
217.8914185,3.156008959,276.050293,132.5540319
263.0415955,-2.004805088,270.8015595,126.1313296
275.2098694,250.6600494,254.1196213,238.1754532
265.8586731,230.123703,192.1652451,-150.7161102
243.0753479,237.9050903,8.06970215,123.3694124
259.7891235,247.3641663,226.226326,249.4910355
